 KINEROS2 Compiled 15-Sep-2017 with Intel Fortran XE 2013   

 Title:  test

 Parameter File Used....... EX1.par
 Rainfall File Used........ EX1.pre

 Length of Run, minutes.... 200
 Time Step, minutes........ 1
 Use Courant criteria?..... N
 Simulate Sed. Transport?.. Y
 Multiplier file (if any).. N
 Tabular Summary?.......... Y

 Multipliers Used:

 Saturated Conductivity... 1.0                 
 Manning n................ 1.0                 
 CV of Ksat............... 1.0                 
 Capillary Drive Coeff.... 1.0                 
 Intercepted Depth........ 1.0                 
 Sediment Cohesion Coeff.. 1.0                 
 Sediment Splash Coeff.... 1.0                 

 
 Plane Element      1
 
 Contributing area = 2.000000 ha
 
                                           theta   rel.sat.
  surface initial water content =         0.1359   0.2000
  estimated wilting point water content = 0.2201   0.5425
  estimated field capacity =              0.2822   0.7955
  3-parameter soil infiltration: alpha = 0.8000
 
 Peak flow = 0.7407505 cu m /s (133.3351 mm/hr) at 35.0 min 
 
 Peak sediment discharge = 24.39460 kg/s at  36.0 min
 
             Water balance                         Sediment balance
 --------------------------------------        ------------------------
   Rain:   1540.000 cu m    77.00000 mm               In:       0.00 kg
 Inflow:      0.000 cu m     0.00000 mm        Deposited:       0.00 kg
 Infilt:    830.202 cu m    41.51009 mm        Soil Loss:   14144.44 kg
 Stored:      0.000 cu m     0.00000 mm              Out:   14144.44 kg
    Out:    707.031 cu m    35.35154 mm 
  Error:       0.18 %
 
  Elapsed Time      Rainfall      Outflow      Outflow      Total Sediment
           min         mm/hr        mm/hr      cu m /s                kg/s
 
         135.0        0.0000       0.0027    0.0000149             0.00002
         136.0        0.0000       0.0021    0.0000118             0.00001
         137.0        0.0000       0.0017    0.0000095             0.00001
         138.0        0.0000       0.0014    0.0000077             0.00001
         139.0        0.0000       0.0011    0.0000062             0.00000
         140.0        0.0000       0.0009    0.0000050             0.00000
         141.0        0.0000       0.0007    0.0000041             0.00000
         142.0        0.0000       0.0006    0.0000034             0.00000
         143.0        0.0000       0.0005    0.0000028             0.00000
         144.0        0.0000       0.0004    0.0000023             0.00000
         145.0        0.0000       0.0003    0.0000019             0.00000
         146.0        0.0000       0.0003    0.0000016             0.00000
         147.0        0.0000       0.0002    0.0000013             0.00000
         148.0        0.0000       0.0002    0.0000011             0.00000
         149.0        0.0000       0.0002    0.0000009             0.00000
         150.0        0.0000       0.0001    0.0000007             0.00000
         151.0        0.0000       0.0001    0.0000006             0.00000
         152.0        0.0000       0.0001    0.0000005             0.00000
         153.0        0.0000       0.0001    0.0000004             0.00000
         154.0        0.0000       0.0001    0.0000004             0.00000
         155.0        0.0000       0.0001    0.0000003             0.00000
         156.0        0.0000       0.0000    0.0000002             0.00000
         157.0        0.0000       0.0000    0.0000002             0.00000
         158.0        0.0000       0.0000    0.0000002             0.00000
         159.0        0.0000       0.0000    0.0000001             0.00000
         160.0        0.0000       0.0000    0.0000001             0.00000
         161.0        0.0000       0.0000    0.0000001             0.00000
         162.0        0.0000       0.0000    0.0000001             0.00000
         163.0        0.0000       0.0000    0.0000001             0.00000
         164.0        0.0000       0.0000    0.0000001             0.00000
         165.0        0.0000       0.0000    0.0000001             0.00000
         166.0        0.0000       0.0000    0.0000001             0.00000
         167.0        0.0000       0.0000    0.0000000             0.00000
         168.0        0.0000       0.0000    0.0000000             0.00000
         169.0        0.0000       0.0000    0.0000000             0.00000
         170.0        0.0000       0.0000    0.0000001             0.00000
         171.0        0.0000       0.0000    0.0000000             0.00000
         172.0        0.0000       0.0000    0.0000000             0.00000
         173.0        0.0000       0.0000    0.0000000             0.00000
         174.0        0.0000       0.0000    0.0000000             0.00000
         175.0        0.0000       0.0000    0.0000000             0.00000
         176.0        0.0000       0.0000    0.0000000             0.00000
         177.0        0.0000       0.0000    0.0000000             0.00000
         178.0        0.0000       0.0000    0.0000000             0.00000
         179.0        0.0000       0.0000    0.0000000             0.00000
         180.0        0.0000       0.0000    0.0000000             0.00000
         181.0        0.0000       0.0000    0.0000000             0.00000
         182.0        0.0000       0.0000    0.0000000             0.00000
         183.0        0.0000       0.0000    0.0000000             0.00000
         184.0        0.0000       0.0000    0.0000000             0.00000
         185.0        0.0000       0.0000    0.0000000             0.00000
         186.0        0.0000       0.0000    0.0000000             0.00000
         187.0        0.0000       0.0000    0.0000000             0.00000
         188.0        0.0000       0.0000    0.0000000             0.00000
         189.0        0.0000       0.0000    0.0000000             0.00000
         190.0        0.0000       0.0000    0.0000000             0.00000
         191.0        0.0000       0.0000    0.0000000             0.00000
         192.0        0.0000       0.0000    0.0000000             0.00000
         193.0        0.0000       0.0000    0.0000000             0.00000
         194.0        0.0000       0.0000    0.0000000             0.00000
         195.0        0.0000       0.0000    0.0000000             0.00000
         196.0        0.0000       0.0000    0.0000000             0.00000
         197.0        0.0000       0.0000    0.0000000             0.00000
         198.0        0.0000       0.0000    0.0000000             0.00000
         199.0        0.0000       0.0000    0.0000000             0.00000
         200.0        0.0000       0.0000    0.0000000             0.00000
 

  Channel      2:  based on length and parameter CLEN,
  the numerical increment of   34.0  m is too large for
  realistic numerical solution of the flow equation, and may 
  give  misleading results.

 
Channel Elem.      2 rating exceeded at time         17.0
 
 
 Channel Elem.      2
 
 Contributing area = 2.000000 ha
 
 
 Peak flow = 0.7267561 cu m /s (130.8161 mm/hr) at 35.0 min 
 
 Peak sediment discharge = 12.52541 kg/s at  37.0 min
 
        Water balance               Sediment balance
 -------------------------       ------------------------
   Rain:     0.0000 cu m                In:   14144.44 kg
 Inflow:   707.0311 cu m         Deposited:    3799.57 kg
 Infilt:     0.0000 cu m         Soil Loss:       0.00 kg
 Stored:     0.3994 cu m               Out:   10344.69 kg
    Out:   705.9736 cu m 
  Error:       0.09 %
 
  Elapsed Time      Rainfall      Outflow      Outflow      Total Sediment
           min         mm/hr        mm/hr      cu m /s                kg/s
 
           0.0        5.0000       0.0000    0.0000000             0.00000
           1.0        5.0000       0.0000    0.0000000             0.00000
           2.0        5.0000       0.0000    0.0000000             0.00000
           3.0        5.0000       0.0000    0.0000000             0.00000
           4.0        5.0000       0.0000    0.0000000             0.00000
           5.0        5.0000       0.0000    0.0000000             0.00000
           6.0        5.0000       0.0000    0.0000000             0.00000
           7.0        5.0000       0.0000    0.0000000             0.00000
           8.0        5.0000       0.0000    0.0000000             0.00000
           9.0        5.0000       0.0000    0.0000000             0.00000
          10.0        5.0000       0.0000    0.0000000             0.00000
          11.0        5.0000       0.0000    0.0000000             0.00000
          12.0        5.0000       0.0000    0.0000000             0.00000
          13.0        5.0000       0.0000    0.0000000             0.00000
          14.0        5.0000       0.0000    0.0000000             0.00000
          15.0      179.2500       0.0000    0.0000000             0.00000
          16.0      179.2500       0.0000    0.0000000             0.00000
          17.0      179.2500       0.0001    0.0000004             0.00002
          18.0      179.2500       0.0038    0.0000213             0.00002
          19.0      179.2501       0.0583    0.0003239             0.00083
          20.0      179.2500       0.4138    0.0022989             0.01080
          21.0      179.2500       1.8142    0.0100788             0.07181
          22.0      179.2500       5.8212    0.0323403             0.23118
          23.0      179.2500      14.8847    0.0826927             0.65472
          24.0      179.2500      31.2379    0.1735441             1.55514
          25.0      179.2499      53.6465    0.2980359             2.98313
          26.0      179.2500      76.2264    0.4234798             4.64363
          27.0      179.2500      93.9184    0.5217689             6.14885
          28.0      179.2500     105.9137    0.5884097             7.33102
          29.0      179.2500     113.6766    0.6315368             8.21325
          30.0      179.2500     118.8116    0.6600643             8.87486
          31.0      179.2500     122.4213    0.6801182             9.38609
          32.0      179.2500     125.1495    0.6952749             9.79564
          33.0      179.2500     127.3469    0.7074829            10.13485
          34.0      179.2500     129.2015    0.7177860            10.42380
          35.0        0.4285     130.8161    0.7267561            10.67562
          36.0        0.4287     124.2519    0.6902881            11.85336
          37.0        0.4285     106.2483    0.5902684            12.52541
          38.0        0.4287      84.7923    0.4710682            11.02470
          39.0        0.4285      64.6907    0.3593929             8.62534
          40.0        0.4285      48.0188    0.2667713             6.34047
          41.0        0.4287      35.2203    0.1956682             4.47530
          42.0        0.4285      25.7312    0.1429509             2.96437
          43.0        0.4287      18.8318    0.1046212             2.04031
          44.0        0.4285      13.9602    0.0775569             1.44860
          45.0        0.4285      10.5450    0.0585831             1.06222
          46.0        0.4287       8.1102    0.0450567             0.80171
          47.0        0.4285       6.3412    0.0352290             0.61933
          48.0        0.4287       5.0318    0.0279544             0.48719
          49.0        0.4285       4.0472    0.0224846             0.38742
          50.0        0.4285       3.2966    0.0183147             0.31006
          51.0        0.4287       2.7170    0.0150945             0.24931
          52.0        0.4285       2.2639    0.0125771             0.19393
          53.0        0.4287       1.9054    0.0105858             0.14982
          54.0        0.4285       1.6187    0.0089930             0.11543
          55.0        0.4285       1.3870    0.0077053             0.08901
          56.0        0.4287       1.1977    0.0066540             0.06890
          57.0        0.4285       1.0418    0.0057876             0.05368
          58.0        0.4287       0.9121    0.0050674             0.04216
          59.0        0.4285       0.8035    0.0044638             0.03343
          60.0        0.4285       0.7118    0.0039542             0.02677
          61.0        0.4287       0.6338    0.0035209             0.02165
          62.0        0.4285       0.5670    0.0031501             0.01769
          63.0        0.4287       0.5095    0.0028308             0.01459
          64.0        0.4285       0.4598    0.0025544             0.01213
          65.0        0.4285       0.4165    0.0023138             0.01017
          66.0        0.4287       0.3786    0.0021033             0.00859
          67.0        0.4285       0.3453    0.0019183             0.00730
          68.0        0.4287       0.3159    0.0017551             0.00625
          69.0        0.4285       0.2899    0.0016104             0.00538
          70.0        0.4285       0.2667    0.0014817             0.00465
          71.0        0.4287       0.2460    0.0013668             0.00404
          72.0        0.4285       0.2275    0.0012639             0.00353
          73.0        0.4287       0.2108    0.0011714             0.00309
          74.0        0.4285       0.1958    0.0010880             0.00272
          75.0        0.4285       0.1823    0.0010126             0.00240
          76.0        0.4287       0.1700    0.0009443             0.00213
          77.0        0.4285       0.1588    0.0008822             0.00190
          78.0        0.4287       0.1486    0.0008256             0.00169
          79.0        0.4285       0.1393    0.0007739             0.00151
          80.0        0.4285       0.1308    0.0007266             0.00136
          81.0        0.4287       0.1230    0.0006835             0.00122
          82.0        0.4285       0.1158    0.0006435             0.00110
          83.0        0.4287       0.1092    0.0006067             0.00100
          84.0        0.4285       0.1031    0.0005727             0.00090
          85.0        0.4285       0.0974    0.0005413             0.00082
          86.0        0.4287       0.0922    0.0005124             0.00075
          87.0        0.4285       0.0874    0.0004855             0.00068
          88.0        0.4287       0.0829    0.0004606             0.00062
          89.0        0.4285       0.0788    0.0004375             0.00057
          90.0        0.4285       0.0749    0.0004160             0.00052
          91.0        0.4287       0.0713    0.0003959             0.00048
          92.0        0.4285       0.0679    0.0003772             0.00044
          93.0        0.4287       0.0647    0.0003597             0.00041
          94.0        0.4285       0.0618    0.0003433             0.00038
          95.0        0.4285       0.0590    0.0003279             0.00035
          96.0        0.4287       0.0564    0.0003134             0.00032
          97.0        0.4285       0.0540    0.0002998             0.00030
          98.0        0.4287       0.0517    0.0002870             0.00028
          99.0        0.4285       0.0495    0.0002750             0.00026
         100.0        0.4285       0.0474    0.0002636             0.00024
         101.0        0.4287       0.0455    0.0002529             0.00022
         102.0        0.4285       0.0437    0.0002427             0.00021
         103.0        0.4287       0.0420    0.0002331             0.00019
         104.0        0.4285       0.0403    0.0002241             0.00018
         105.0       92.9998       0.0388    0.0002155             0.00017
         106.0       93.0002       0.0373    0.0002073             0.00016
         107.0       93.0002       0.0387    0.0002152             0.00017
         108.0       92.9998       0.0579    0.0003219             0.00033
         109.0       92.9998       0.1279    0.0007104             0.00088
         110.0       93.0002       0.3143    0.0017460             0.00285
         111.0       93.0002       0.8493    0.0047186             0.00885
         112.0       92.9998       2.2030    0.0122386             0.02816
         113.0       92.9998       4.8955    0.0271971             0.08189
         114.0       93.0002       9.7650    0.0542500             0.20910
         115.0        0.0000      17.7699    0.0987217             0.45747
         116.0        0.0000      26.3658    0.1464765             1.04222
         117.0        0.0000      31.2025    0.1733474             1.73648
         118.0        0.0000      31.5873    0.1754849             2.01124
         119.0        0.0000      28.7608    0.1597822             1.93075
         120.0        0.0000      24.4054    0.1355854             1.65595
         121.0        0.0000      19.8393    0.1102185             1.33777
         122.0        0.0000      15.7301    0.0873892             1.03670
         123.0        0.0000      12.3170    0.0684280             0.75935
         124.0        0.0000       9.6515    0.0536196             0.56483
         125.0        0.0000       7.6285    0.0423808             0.42818
         126.0        0.0000       6.0924    0.0338467             0.33134
         127.0        0.0000       4.9174    0.0273189             0.26135
         128.0        0.0000       4.0091    0.0222730             0.20967
         129.0        0.0000       3.3002    0.0183344             0.17073
         130.0        0.0000       2.7419    0.0152326             0.14079
         131.0        0.0000       2.2984    0.0127689             0.11732
         132.0        0.0000       1.9431    0.0107951             0.09862
         133.0        0.0000       1.6561    0.0092006             0.08324
         134.0        0.0000       1.4223    0.0079015             0.07040
         135.0        0.0000       1.2302    0.0068345             0.05965
         136.0        0.0000       1.0712    0.0059510             0.05065
         137.0        0.0000       0.9385    0.0052140             0.04133
         138.0        0.0000       0.8271    0.0045948             0.03363
         139.0        0.0000       0.7328    0.0040708             0.02740
         140.0        0.0000       0.6524    0.0036247             0.02241
         141.0        0.0000       0.5836    0.0032425             0.01843
         142.0        0.0000       0.5244    0.0029131             0.01525
         143.0        0.0000       0.4730    0.0026278             0.01271
         144.0        0.0000       0.4283    0.0023794             0.01066
         145.0        0.0000       0.3892    0.0021621             0.00900
         146.0        0.0000       0.3548    0.0019711             0.00765
         147.0        0.0000       0.3245    0.0018025             0.00654
         148.0        0.0000       0.2976    0.0016532             0.00562
         149.0        0.0000       0.2737    0.0015204             0.00486
         150.0        0.0000       0.2523    0.0014018             0.00422
         151.0        0.0000       0.2332    0.0012957             0.00368
         152.0        0.0000       0.2160    0.0012003             0.00322
         153.0        0.0000       0.2006    0.0011143             0.00284
         154.0        0.0000       0.1866    0.0010367             0.00250
         155.0        0.0000       0.1739    0.0009663             0.00222
         156.0        0.0000       0.1624    0.0009024             0.00197
         157.0        0.0000       0.1519    0.0008441             0.00176
         158.0        0.0000       0.1424    0.0007910             0.00157
         159.0        0.0000       0.1336    0.0007424             0.00141
         160.0        0.0000       0.1256    0.0006980             0.00127
         161.0        0.0000       0.1183    0.0006570             0.00114
         162.0        0.0000       0.1114    0.0006191             0.00103
         163.0        0.0000       0.1052    0.0005842             0.00093
         164.0        0.0000       0.0994    0.0005521             0.00085
         165.0        0.0000       0.0940    0.0005223             0.00077
         166.0        0.0000       0.0891    0.0004948             0.00070
         167.0        0.0000       0.0845    0.0004693             0.00064
         168.0        0.0000       0.0802    0.0004456             0.00059
         169.0        0.0000       0.0762    0.0004236             0.00054
         170.0        0.0000       0.0725    0.0004031             0.00049
         171.0        0.0000       0.0691    0.0003839             0.00046
         172.0        0.0000       0.0659    0.0003659             0.00042
         173.0        0.0000       0.0628    0.0003491             0.00039
         174.0        0.0000       0.0600    0.0003334             0.00036
         175.0        0.0000       0.0574    0.0003186             0.00033
         176.0        0.0000       0.0549    0.0003047             0.00031
         177.0        0.0000       0.0525    0.0002916             0.00028
         178.0        0.0000       0.0503    0.0002793             0.00026
         179.0        0.0000       0.0482    0.0002677             0.00025
         180.0        0.0000       0.0462    0.0002568             0.00023
         181.0        0.0000       0.0444    0.0002464             0.00021
         182.0        0.0000       0.0426    0.0002366             0.00020
         183.0        0.0000       0.0409    0.0002274             0.00019
         184.0        0.0000       0.0393    0.0002186             0.00017
         185.0        0.0000       0.0378    0.0002103             0.00016
         186.0        0.0000       0.0364    0.0002024             0.00015
         187.0        0.0000       0.0351    0.0001949             0.00014
         188.0        0.0000       0.0338    0.0001878             0.00013
         189.0        0.0000       0.0326    0.0001811             0.00013
         190.0        0.0000       0.0314    0.0001747             0.00012
         191.0        0.0000       0.0303    0.0001685             0.00011
         192.0        0.0000       0.0293    0.0001627             0.00011
         193.0        0.0000       0.0283    0.0001571             0.00010
         194.0        0.0000       0.0273    0.0001518             0.00009
         195.0        0.0000       0.0264    0.0001468             0.00009
         196.0        0.0000       0.0256    0.0001420             0.00008
         197.0        0.0000       0.0247    0.0001375             0.00008
